 X, Y, Z,class
-1008,-6656,3104,muster
-1056,-6384,3072,muster
-1200,-6384,3136,muster
-1232,-6592,3392,muster
-1264,-7056,3376,muster
-1184,-7184,3408,muster
-1040,-7232,3152,muster
-992,-7392,2912,muster
-720,-7296,3088,muster
-336,-11552,-10160,muster
-160,-9872,-720,muster
-1136,-5168,6240,muster
-1584,-7584,3280,muster
-1360,-6320,4720,muster
-1648,-7168,3680,muster
-1536,-7456,3776,muster
-1584,-7264,4368,muster
-1792,-7872,3648,muster
-1824,-7648,3872,muster
-1936,-7152,3552,muster
-1936,-3520,6960,muster
-1792,-3616,8640,muster
-2224,-7552,848,muster
-1264,-8480,2544,muster
-1376,-8624,2256,muster
-1440,-8560,2144,muster
-1760,-8272,2288,muster
-1824,-7680,2576,muster
-3792,-4608,6208,muster
-3952,-4272,6624,muster
-3984,-4032,6784,muster
-4016,-3920,6768,muster
-4048,-3680,6704,muster
-4112,-3504,6576,muster
-4176,-3104,6608,muster
-4256,-2544,6992,muster
-5152,-1920,7792,muster
-5792,-1360,8912,muster
-5984,-544,10112,muster
-7616,-80,10960,muster
-8160,544,11600,muster
-8272,912,11824,muster
-9296,1120,11840,muster
-10480,1648,12272,muster
-11584,2176,13184,muster
-12432,2272,14304,muster
-13536,1600,15216,muster
-14480,336,15264,muster
-15456,-1520,14032,muster
-16336,-3616,11360,muster
-16592,-4912,9280,muster
-16720,-6080,7248,muster
-16800,-7056,5152,muster
-16880,-7872,3664,muster
-16352,-8352,2032,muster
-16240,-8880,0,muster
-13856,-9648,-1264,muster
-12656,-10176,-1936,muster
-12304,-10272,-1968,muster
-10896,-9968,-1488,muster
-10672,-9120,-816,muster
-10576,-8432,-256,muster
-9888,-7840,-112,muster
-9408,-7504,-176,muster
-8608,-7376,-400,muster
-8096,-7552,-128,muster
-7520,-7840,720,muster
-7856,-8080,-256,muster
-6992,-8384,272,muster
-5776,-8640,1776,muster
-5152,-7824,2224,muster
-5024,-7696,1776,muster
-4496,-6320,1328,muster
-2000,-4272,8512,muster
-1584,-4176,7888,muster
-1456,-3968,7520,muster
-1168,-3824,7216,muster
-1184,-3728,6944,muster
-1312,-3696,6832,muster
-1504,-3504,7088,muster
-1520,-3072,7392,muster
